feature,method,correlation,ci_lower,ci_upper,p_value,n_cell_lines
p53_S15_low_DDR,spearman,0.3764102564102564,-0.037313536841471776,0.6799775630567381,0.05805130552932751,26
p53_S15_low_DDR,pearson,0.33103917446547193,-0.06459579736970605,0.6367424751437446,0.09855220594940117,26
p53_S15_high_DDR,spearman,0.28478632478632476,-0.13940468279835444,0.6206642036450765,0.15850693426664988,26
p53_S15_high_DDR,pearson,0.2965183458389844,-0.10262024166520675,0.6134152735480581,0.14131601603641292,26
p53_S15_AUC_across_DDR,spearman,0.3524786324786324,-0.06483928261241792,0.6648593393203691,0.0773816791734533,26
p53_S15_AUC_across_DDR,pearson,0.3273129945253194,-0.06875622451612932,0.6342511912471649,0.10263443521809817,26
p53_S46_low_DDR,spearman,0.23076923076923075,-0.19564461035738287,0.5837968405744572,0.25670309114113005,26
p53_S46_low_DDR,pearson,0.12948025624613654,-0.2714880085171027,0.4921487556676943,0.5284234438095974,26
p53_S46_high_DDR,spearman,-0.07076923076923076,-0.46532710787415754,0.3472505105025225,0.731194023076702,26
p53_S46_high_DDR,pearson,-0.07788526520213408,-0.4516125026794041,0.319093405356495,0.7052953275600302,26
p53_S46_AUC_across_DDR,spearman,0.04205128205128204,-0.37233009872591216,0.4424537044012548,0.8383810584311926,26
p53_S46_AUC_across_DDR,pearson,0.010191763121594553,-0.37865502980836474,0.3959804507165986,0.96058994673839,26
p53_S46_to_S15_ratio,spearman,-0.10837606837606836,-0.4945041583289137,0.3134783628804898,0.5982004395338452,26
p53_S46_to_S15_ratio,pearson,-0.17760109823062237,-0.5285892029236001,0.22524647596696093,0.3854033056572136,26
p53_S46_AUC_across_DDR,linear_regression_r2,0.00010387203552686408,,,,26
p53_S46_AUC_across_DDR,linear_regression_rmse,1.471126619470174,,,,26
