gene,coefficient,hazard_ratio,ci_lower,ci_upper,p_value,expression_scaling,cox_penalizer
GADD45A,-0.24831862362942067,0.7801113417679134,0.6428666997186171,0.9466561354341531,0.011895403937688809,standardised using TCGA mean and standard deviation,0.0
CHEK1,0.2597308510807898,1.2965810663059878,1.0327477288842408,1.627815210321907,0.0252496102495429,standardised using TCGA mean and standard deviation,0.0
HIPK2,-0.2018062709410679,0.817253238307849,0.6820406754657151,0.9792712950273889,0.028745415781264026,standardised using TCGA mean and standard deviation,0.0
CHEK2,-0.21736530693268627,0.8046359765089601,0.6416895673743674,1.0089599202020472,0.05974056129270267,standardised using TCGA mean and standard deviation,0.0
CDKN1A,0.15737409043848508,1.1704333799500848,0.9592149020442081,1.4281620249872258,0.12117107512707308,standardised using TCGA mean and standard deviation,0.0
CASP3,-0.14796252754073735,0.862463432962381,0.7143814743275065,1.041240849501988,0.12368628500406381,standardised using TCGA mean and standard deviation,0.0
BBC3,-0.17983407652181904,0.8354088138483515,0.6529864272157736,1.0687938633445626,0.15252306834803514,standardised using TCGA mean and standard deviation,0.0
TP53,0.10334297581165854,1.1088716600214625,0.9488482728496918,1.295883012682193,0.19372336838939028,standardised using TCGA mean and standard deviation,0.0
MDM2,-0.0894197373399368,0.9144616593041607,0.7388096989903995,1.1318748623360795,0.4112614650661748,standardised using TCGA mean and standard deviation,0.0
WSB1,0.05993644687606218,1.0617690656600485,0.8664645410435267,1.3010960003451313,0.5633208986372562,standardised using TCGA mean and standard deviation,0.0
ATR,-0.06126549549907847,0.9405734885957949,0.7414402334643995,1.1931892113752445,0.6137328179149182,standardised using TCGA mean and standard deviation,0.0
SIAH1,-0.031947830671150944,0.9685571097355561,0.8261738790594113,1.1354787395206836,0.6937215753039205,standardised using TCGA mean and standard deviation,0.0
BAX,-0.050403375319154446,0.9508457994056662,0.7131938276929146,1.267688669112668,0.7312258546712438,standardised using TCGA mean and standard deviation,0.0
MDM4,-0.025895825290038678,0.9744365959712206,0.8001221537964149,1.1867271454273214,0.7967814163348214,standardised using TCGA mean and standard deviation,0.0
ATM,-0.027315892984175416,0.9730538120970271,0.764192413976685,1.2389991105897629,0.8246406724368699,standardised using TCGA mean and standard deviation,0.0
PPM1D,-0.00608156520818753,0.9939368900782078,0.8242797594392143,1.1985136480003449,0.9492205093713164,standardised using TCGA mean and standard deviation,0.0
